paper_id,title,UMAP1,UMAP2,Publication_Year,Cited_by_count,DOI,event,journal,Author
W2055043387,Basic local alignment search tool,9.356742,9.303392,1990,92840,https://doi.org/10.1016/S0022-2836(05)80360-2,BLAST,Journal of Molecular Biology,Stephen F. Altschul; Warren Gish; Webb Miller; Eugene W. Myers; David J. Lipman
W2138270253,DNA sequencing with chain-terminating inhibitors,8.454786,9.292396,1977,69140,https://doi.org/10.1073/pnas.74.12.5463,サンガーシークエンス法（ジデオキシ法）,Proceedings of the National Academy of Sciences,Frederick Sanger; S. Nicklen; Alan Coulson
W2106882534,"CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice",9.472562,9.32911,1994,64390,https://doi.org/10.1093/nar/22.22.4673,Clustal W,Nucleic Acids Research,Julie Thompson; Desmond G. Higgins; Toby J. Gibson
W2103441770,Fast and accurate short read alignment with Burrows–Wheeler transform,9.193821,10.069199,2009,60723,https://doi.org/10.1093/bioinformatics/btp324,高速にNGSデータをリードマッピングするためのBurrows_Wheeler変換の利用,Bioinformatics,Heng Li; Richard Durbin
W2097706568,The neighbor-joining method: a new method for reconstructing phylogenetic trees.,9.381367,9.191118,1987,60193,https://doi.org/10.1093/oxfordjournals.molbev.a040454,近隣結合法,Molecular Biology and Evolution,Naruya Saitou; M Nei
W3177828909,Highly accurate protein structure prediction with AlphaFold,10.283606,4.4007344,2021,42015,https://doi.org/10.1038/s41586-021-03819-2,AlphaFold2公開,Nature,John Jumper; K Taki; Alexander Pritzel; Tim Green; Michael Figurnov; Olaf Ronneberger; Kathryn Tunyasuvunakool; Russ Bates; Augustin __dek; Anna Potapenko; Alex Bridgland; Clemens Meyer; Simon K_hl; Andrew J. Ballard; Andrew Cowie; Bernardino Romera‐Paredes; Stanislav Nikolov; Rishub Jain; Jonas Adler; Trevor Back; Stig Petersen; David Reiman; Ellen Clancy; Micha_ Zieli_ski; Martin Steinegger; Michalina Pacholska; Tamas Berghammer; Sebastian W. Bodenstein; David Silver; Oriol Vinyals; Andrew Senior; Koray Kavukcuoglu; Pushmeet Kohli; Demis Hassabis
W2159482845,KEGG: Kyoto Encyclopedia of Genes and Genomes,10.099031,6.7873673,1995,32243,https://doi.org/10.1093/nar/27.1.29,KEGGデータベースプロジェクト開始,Nucleic Acids Research,Hiroyuki Ogata; Susumu Goto; Kazushige Sato; Wataru Fujibuchi; Hidemasa Bono; Minoru Kanehisa
W2159482845,KEGG: Kyoto Encyclopedia of Genes and Genomes,10.167662,7.0711513,1995,32243,https://doi.org/10.1093/nar/27.1.29,KEGGデータベースプロジェクト開始,Nucleic Acids Research,Hiroyuki Ogata; Susumu Goto; Kazushige Sato; Wataru Fujibuchi; Hidemasa Bono; Minoru Kanehisa
W2111647009,IQ-TREE: A Fast and Effective Stochastic Algorithm for Estimating Maximum-Likelihood Phylogenies,9.639822,8.90096,2014,25951,https://doi.org/10.1093/molbev/msu300,IQ-TREE,Molecular Biology and Evolution,Lam-Tung Nguyen; Heiko A. Schmidt; Arndt von Haeseler; B_i Quang Minh
W4254275792,CONFIDENCE LIMITS ON PHYLOGENIES: AN APPROACH USING THE BOOTSTRAP,6.9928136,9.284473,1985,19256,https://doi.org/10.2307/2408678,系統樹におけるBootstrap,Evolution,Joseph Felsenstein
W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,2.1564755,1.1655285,2012,16749,https://doi.org/10.1126/science.1225829,CRISPR-Cas9の分子機構の解明,Science,Martin J_nek; Krzysztof Chylinski; Ines Fonfara; M. Hauer; Jennifer A. Doudna; Emmanuelle Charpentier
W2028622989,Improved M13 phage cloning vectors and host strains: nucleotide sequences of the M13mpl8 and pUC19 vectors,8.509404,9.450445,1985,15149,https://doi.org/10.1016/0378-1119(85)90120-9,pUC19プラスミドの誕生,Gene,Celeste Yanisch-Perron; Jeffrey Vieira; Joachim Messing
W2102424972,Evolutionary trees from DNA sequences: A maximum likelihood approach,10.065948,8.130931,1981,14676,https://doi.org/10.1007/bf01734359,最尤法,Journal of Molecular Evolution,Joseph Felsenstein
W2143485490,Prodigal: prokaryotic gene recognition and translation initiation site identification,8.602778,8.608593,2010,12219,https://doi.org/10.1186/1471-2105-11-119,Prodigal,BMC Bioinformatics,Doug Hyatt; Gwo-Liang Chen; Philip LoCascio; Miriam Land; Frank W. Larimer; Loren Hauser
W2111858111,Profiling of complex microbial populations by denaturing gradient gel electrophoresis analysis of polymerase chain reaction-amplified genes coding for 16S rRNA,1.7865049,8.041321,1993,11385,https://doi.org/10.1128/aem.59.3.695-700.1993,DGGE(変性剤濃度勾配ゲル電気泳動法)を用いた微生物群集構造解析,Applied and Environmental Microbiology,Gerard Muyzer; Ellen C. de Waal; Andr_ G. Uitterlinden
W2015292449,Improved tools for biological sequence comparison.,9.691704,9.014864,1988,11300,https://doi.org/10.1073/pnas.85.8.2444,FASTAの開発,Proceedings of the National Academy of Sciences,William R. Pearson; David J. Lipman
W2132417094,Studies on transformation of Escherichia coli with plasmids,5.287382,0.94871897,1983,11239,https://doi.org/10.1016/s0022-2836(83)80284-8,大腸菌の高効率な組み換え法(通称Hanahan法)の開発,Journal of Molecular Biology,Douglas Hanahan
W4396721167,Accurate structure prediction of biomolecular interactions with AlphaFold 3,10.585304,4.5422363,2024,10854,https://doi.org/10.1038/s41586-024-07487-w,タンパク質と核酸や小分子などの複合体構造を予測できるAlphaFold3の発表、AlphaFold Serverの公開,Nature,Josh Abramson; Jonas Adler; Jack Dunger; K Taki; Tim Green; Alexander Pritzel; Olaf Ronneberger; Lindsay Willmore; Andrew J. Ballard; Joshua Bambrick; Sebastian W. Bodenstein; David A. Evans; Chia-Chun Hung; Michael O’Neill; David Reiman; Kathryn Tunyasuvunakool; Zachary Wu; Akvil_ _emgulyt_; Eirini Arvaniti; Charles Beattie; Ottavia Bertolli; Alex Bridgland; Alexey V. Cherepanov; Miles Congreve; Alexander I. Cowen-Rivers; Andrew Cowie; Michael Figurnov; Fabian B. Fuchs; Hannah Gladman; Rishub Jain; Yousuf A. Khan; Caroline M. R. Low; Kuba Perlin; Anna Potapenko; Pascal Savy; Sukhdeep Singh; Adrian Stecu_a; Ashok Thillaisundaram; Catherine Tong; Sergei Yakneen; Ellen D. Zhong; Micha_ Zieli_ski; Augustin __dek; Victor Bapst; Pushmeet Kohli; Max Jaderberg; Demis Hassabis; John Jumper
W2080283023,Global patterns of 16S rRNA diversity at a depth of millions of sequences per sample,6.962702,9.425713,2010,9626,https://doi.org/10.1073/pnas.1000080107,Illumina GAIIxでの16S amplicon sequncing,Proceedings of the National Academy of Sciences,J. Gregory Caporaso; Christian L. Lauber; William A. Walters; Donna Berg-Lyons; Catherine Lozupone; Peter J. Turnbaugh; Noah Fierer; Rob Knight
W1970156673,Quantitative Monitoring of Gene Expression Patterns with a Complementary DNA Microarray,3.5126698,10.805593,1995,9553,https://doi.org/10.1126/science.270.5235.467,マイクロアレイの登場,Science,Mark Schena; Dari Shalon; Ronald W. Davis; Patrick O. Brown
W2166171121,Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms,7.2368436,9.729456,2012,8787,https://doi.org/10.1038/ismej.2012.8,Illumina Miseq/Hiseqでの16S amplicon sequncing,The ISME Journal,J. Gregory Caporaso; Christian L. Lauber; William A. Walters; Donna Berg-Lyons; James S. Huntley; Noah Fierer; Sarah M. Owens; Jason Betley; Louise Fraser; Markus Bauer; Niall Gormley; Jack A. Gilbert; Geoff Smith; Rob Knight
W2170024099,UniFrac: a New Phylogenetic Method for Comparing Microbial Communities,1.6311604,7.375324,2005,8278,https://doi.org/10.1128/AEM.71.12.8228-8235.2005,UniFrac距離の考案,Applied and Environmental Microbiology,Catherine Lozupone; Rob Knight
W2111967267,"Construction of Escherichia coli K‐12 in‐frame, single‐gene knockout mutants: the Keio collection",7.9161105,2.4902177,2006,8090,https://doi.org/10.1038/msb4100050,KEIOコレクション(大腸菌の全遺伝子のノックアウトライブラリー),Molecular Systems Biology,Tomoya Baba; Takeshi Ara; Miki Hasegawa; Yuki Takai; Yoshiko Okumura; Miki Baba; Kirill A. Datsenko; Masaru Tomita; Barry L. Wanner; Hirotada Mori
W1992595091,A new method for sequencing DNA.,6.131597,0.30785215,1977,7955,https://doi.org/10.1073/pnas.74.2.560,DNAシークエンス技術Maxam-Gilbert 法の開発,Proceedings of the National Academy of Sciences,Allan M. Maxam; Wendy V. Gilbert
W3211795435,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models,10.502604,5.367783,2022,7839,https://doi.org/10.1093/nar/gkab1061,AlphaFold Protein Structure Database公開,Nucleic Acids Research,Mih_ly V_radi; Stephen Anyango; Mandar Deshpande; Sreenath Nair; Cindy Natassia; Galabina Yordanova; David Yu Yuan; Oana Stroe; Gemma Wood; Agata Laydon; Augustin __dek; Tim Green; Kathryn Tunyasuvunakool; Stig Petersen; John Jumper; Ellen Clancy; Richard Green; Ankur Vora; Mira Lutfi; Michael Figurnov; Andrew Cowie; Nicole Hobbs; Pushmeet Kohli; Gerard J. Kleywegt; Ewan Birney; Demis Hassabis; Sameer Velankar
W2128114769,Genome sequencing in microfabricated high-density picolitre reactors,8.360801,9.913056,2005,7636,https://doi.org/10.1038/nature03959,初の次世代シーケンスの製品化,Nature,Marcel Margulies; Michael D. Miller; William E. Altman; Said Attiya; Joel S. Bader; Lisa A. Bemben; Jan Berka; Michael Braverman; Yi‐Ju Chen; Zhoutao Chen; Scott Dewell; Lei Du; Joseph M. Fierro; Xavier V. Gomes; Bailey Godwin; Wen He; Scott Helgesen; Chun He Ho; Gerard P. Irzyk; Szilveszter C. Jando; Maria L. I. Alenquer; Thomas Jarvie; Kshama B. Jirage; Jong‐Bum Kim; James R. Knight; Janna R. Lanza; John H. Leamon; Steven M. Lefkowitz; Ming Lei; Jing Li; Kenton L. Lohman; Hong L_; Vinod B. Makhijani; Keith E. McDade; Michael P. McKenna; Eugene W. Myers; Elizabeth Nickerson; John R. Nobile; Ramona Plant; Bernard P. Puc; M. T. Ronan; George T. Roth; Gary J. Sarkis; Jan Fredrik Simons; John Simpson; Maithreyan Srinivasan; Karrie Tartaro; Alexander Tomasz; Kari A. Vogt; Greg A. Volkmer; Shally H. Wang; Yong Wang; Michael P. Weiner; Pengguang Yu; R. F. Begley; Jonathan M. Rothberg
W2134153749,The Complete Genome Sequence of Escherichia coli K-12,3.3184187,3.3449495,1997,7437,https://doi.org/10.1126/science.277.5331.1453,大腸菌の完全ゲノム,Science,Frederick R. Blattner; Guy Plunkett; Craig A. Bloch; Nicole T. Perna; Valerie Burland; Monica Riley; Julio Collado‐Vides; Jeremy D. Glasner; Christopher K. Rode; George F. Mayhew; J. W. GREGOR; N. Wayne Davis; Heather Kirkpatrick; Michael A. Goeden; Debra J. Rose; Bob Mau; Ying Shao
W2073925485,Report of the Ad Hoc Committee on Reconciliation of Approaches to Bacterial Systematics,2.336866,9.704504,1987,7277,https://doi.org/10.1099/00207713-37-4-463,70%以上の DNA-DNA hybridization、かつTm差が5°C以下で同種の定義,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,L G Wayne; William Moore; Erko Stackebrandt; O. Kandler; Rita R. Colwell; Micah I. Krichevsky; Hans G. Tr_per; R. G. E. Murray; Patrick A. D. Grimont; D J Brenner; M. P. Starr; L. H. Moore
W2121016876,Base-Calling of Automated Sequencer Traces Using Phred. I. Accuracy Assessment,7.9659486,9.097467,1998,6957,https://doi.org/10.1101/gr.8.3.175,ベースコーリングプログラム Phredの開発,Genome Research,Brent Ewing; LaDeana Hillier; Michael C. Wendl; Phil Green
W2091922579,SILVA: a comprehensive online resource for quality checked and aligned ribosomal RNA sequence data compatible with ARB,9.645959,7.2545214,2007,6765,https://doi.org/10.1093/nar/gkm864,rRNAの配列を集めたSILVA database,Nucleic Acids Research,Elmar Pruesse; Christian Quast; Katrin Knittel; Bernhard M. Fuchs; Wolfgang Ludwig; J_rg Peplies; Frank Oliver Gl_ckner
W2163892779,Toward Defining the Course of Evolution: Minimum Change for a Specific Tree Topology,10.41544,6.2250524,1971,6513,https://doi.org/10.1093/sysbio/20.4.406,最節約法,Systematic Biology,W. M. Fitch
W1975993749,Use of bacteriophage T7 RNA polymerase to direct selective high-level expression of cloned genes,7.119165,1.588995,1986,6360,https://doi.org/10.1016/0022-2836(86)90385-2,タンパク質発現用によく使われるBL21(DE3)株の開発,Journal of Molecular Biology,F. William Studier; Barbara A. Moffatt
W2143210482,Amino acid substitution matrices from protein blocks.,10.226019,7.2739654,1992,6287,https://doi.org/10.1073/pnas.89.22.10915,BLOSUM62,Proceedings of the National Academy of Sciences,Steven Henikoff; Jorja G. Henikoff
W2167705142,Primary Production of the Biosphere: Integrating Terrestrial and Oceanic Components,-0.887896,6.3095393,1998,6202,https://doi.org/10.1126/science.281.5374.237,地球の光合成一次生産量の推定,Science,Christopher B. Field; Michael J. Behrenfeld; James T. Randerson; Paul G. Falkowski
W2169244146,CRISPR Provides Acquired Resistance Against Viruses in Prokaryotes,1.7953346,1.5895777,2007,6166,https://doi.org/10.1126/science.1138140,CRISPRは細菌の免疫機構である,Science,Rodolphe Barrangou; Christophe Fremaux; H_l_ne Deveau; Melissa Richards; Patrick Boyaval; Sylvain Moineau; Dennis Romero; Philippe Horvath
W2166865790,"Towards a natural system of organisms: proposal for the domains Archaea, Bacteria, and Eucarya.",8.911221,6.530451,1990,6002,https://doi.org/10.1073/pnas.87.12.4576,3ドメイン説（Bacteria / Archaea / Eucarya）の提唱,Proceedings of the National Academy of Sciences,C R Woese; O. Kandler; Mark L. Wheelis
W2151831732,Profile hidden Markov models.,10.335476,7.1757946,1992,5689,https://doi.org/10.1093/bioinformatics/14.9.755,HMMER,Bioinformatics,Sean R. Eddy
W2105329815,FastTree: Computing Large Minimum Evolution Trees with Profiles instead of a Distance Matrix,10.02678,8.279184,2009,5614,https://doi.org/10.1093/molbev/msp077,FastTree,Molecular Biology and Evolution,Morgan N. Price; Paramvir Dehal; Adam P. Arkin
