title,UMAP1,UMAP2
"Direct Epifluorescence Enumeration of Native Aquatic Bacteria: Uses, Limitations, and Comparative Accuracy",3.404153,10.90549
Domain Behavior and Supercoil Dynamics in Bacterial Chromosomes,5.370123,1.3032978
PROMALS3D: Multiple Protein Sequence Alignment Enhanced with Evolutionary and Three-Dimensional Structural Information,10.847792,5.4753366
Microbial Minimalism,3.0063822,3.6131546
The Deoxyribonucleases of Escherichia coli,5.502989,0.6887779
"Omics Technologies, Data and Bioinformatics Principles",6.7901626,5.9394064
Contribution of neutral processes to the assembly of gut microbial communities in the zebrafish over host development,2.155016,6.87987
Molecular ecology of hydrothermal vent microbial communities,4.110318,6.605751
Estimating Maximum Likelihood Phylogenies with PhyML,9.815421,7.549488
Genomes by design,6.4729786,5.7881317
Multiple Alignment of DNA Sequences with MAFFT,8.415871,9.387973
Computational approaches to natural product discovery,6.5530634,5.8139644
Overcoming Challenges in Engineering the Genetic Code,7.2749,4.256441
"Combining metagenomics, metatranscriptomics and viromics to explore novel microbial interactions: towards a systems-level understanding of human microbiome",0.15915206,9.996945
FURTHER STUDIES ON THE ALKYLATION OF NUCLEIC ACIDS AND THEIR CONSTITUENT NUCLEOTIDES,3.344204,11.098323
Location of nodulation and nitrogen fixation genes on a high molecular weight plasmid of R. meliloti,6.511638,1.5328382
Cytoscape: Software for Visualization and Analysis of Biological Networks,8.1931,8.375406
Microbial Diversity of Marine Sponges,3.7373579,6.617781
Chapter 1 Phage Evolution and Ecology,2.777052,2.2317677
Vibrios in the Environment: Viable but Nonculturable Vibrio cholerae,5.1741257,1.2500066
Semi-Supervised Learning,8.442198,4.9149985
Phylogeny and physiology of candidate phylum 'Atribacteria' (OP9/JS1) inferred from cultivation-independent genomics,2.2095778,4.059967
Genetic engineering of ethanol production in Escherichia coli,7.072474,2.1441047
"Estimation of diversity and community structure through restriction fragment length polymorphism distribution analysis of bacterial 16S rRNA genes from a microbial mat at an active, hydrothermal vent system, Loihi Seamount, Hawaii",2.9432602,8.867337
Characterization of the glutamyl-tRNA (Gln) -to-glutaminyl-tRNA (Gln) amidotransferase reaction of Bacillus subtilis,7.2864237,2.2855294
Prokaryotic taxonomy in the sequencing era – the polyphasic approach revisited,5.75693,7.766089
Santa Rosalia revisited: Why are there so many species of bacteria?,6.123747,9.185789
Bergey's Manual of Systematic Bacteriology,6.0529027,7.7137403
"A Post-Genomic View of the Ecophysiology, Catabolism and Biotechnological Relevance of Sulphate-Reducing Prokaryotes",5.0939364,5.6857
A New Method for the Large Scale Purification of Escherichia coli Deoxyribonucleic Acid-dependent Ribonucleic Acid Polymerase,6.42305,0.70282674
Using flow cytometry for counting natural planktonic bacteria and understanding the structure of planktonic bacterial communities,3.847434,10.528918
Multiplication of microbes below 0.690 water activity: implications for terrestrial and extraterrestrial life,-0.3215582,5.5498133
"A phylogenomic study of DNA repair genes, proteins, and processes",4.2516956,2.6988678
Multiplex single-cell profiling of chromatin accessibility by combinatorial cellular indexing,7.89243,9.20215
l-Tuple DNA Sequencing: Computer Analysis,8.352961,9.96456
Phylogenetic Analysis of Nonthermophilic Members of the Kingdom Crenarchaeota and Their Diversity and Abundance in Soils,3.009404,8.895763
Group-specific 16S rRNA hybridization probes to describe natural communities of methanogens,3.4275737,10.126708
Analysis of the genome sequence of the flowering plant Arabidopsis thaliana,3.179859,3.6567698
Biochemical characterization of nonintegrated plasmid-folded chromosome complexes: sex factor F and the Escherichia coli nucleoid,5.67718,1.2224011
Isolation and Characterization of a Pseudomonas sp. That Mineralizes the s-Triazine Herbicide Atrazine,-0.1217568,5.507215
"Isolation of Typical Marine Bacteria by Dilution Culture: Growth, Maintenance, and Characteristics of Isolates under Laboratory Conditions",0.57979244,6.400048
Purification and characterization of the dnaA46 gene product.,6.7141814,0.81690085
Diel gene expression profiles of a phosphorus limited mountain lake using metatranscriptomics,-0.0155351,6.3548965
Metagenomics: Tools and Insights for Analyzing Next-Generation Sequencing Data Derived from Biodiversity Studies,7.4910326,8.005515
The nucleotide sequence of rat liver fatty acid binding protein mRNA.,6.0451694,1.2388653
"Genomic and structural analysis of Syn9, a cyanophage infecting marine Prochlorococcus and Synechococcus",3.1360106,3.4281113
Physiological Structure and Single‐Cell Activity in Marine Bacterioplankton,0.7937962,3.2367072
Escherichia coli has two homologous glutamate decarboxylase genes that map to distinct loci,6.375468,1.9390693
Lateral genetic transfer and the construction of genetic exchange communities,7.2017817,3.7884626
The Enzymology of Virus-infected Bacteria,6.273355,1.6669723
Feast and famine — microbial life in the deep-sea bed,0.8216183,6.0700994
Data management and analysis for gene expression arrays,9.572419,8.622569
Molecular Ecological Aspects of Nitrogen Fixation in the Marine Environment,5.076037,5.7864957
Population Dynamics of Chesapeake Bay Virioplankton: Total-Community Analysis by Pulsed-Field Gel Electrophoresis,0.82078046,3.122437
"Is dinitrogen fixation significant in the Levantine Basin, East Mediterranean Sea?",-2.4976225,6.696735
Tangential flow filtration and preliminary phylogenetic analysis of marine picoplankton,3.0826998,10.957747
Purification and characterization of a thermostable thiol protease from a newly isolated hyperthermophilic Pyrococcus sp,6.304034,2.3997622
Genetic diversity of the unicellular nitrogen‐fixing cyanobacteria UCYN ‐ A and its prymnesiophyte host,2.1991317,4.0044336
Community analysis of high‐ and low‐nucleic acid‐containing bacteria in NW Mediterranean coastal waters using 16S rDNA pyrosequencing,1.3430575,7.4264193
Effect of Rifampin on the Structure and Membrane Attachment of the Nucleoid of Escherichia coli,5.305777,1.1173534
Cell-free DNA: Preanalytical variables,7.4910626,7.2604847
Metagenomic 16S rDNA I llumina tags are a powerful alternative to amplicon sequencing to explore diversity and structure of microbial communities,6.4082747,9.770165
Demonstration of a sensory rhodopsin in eubacteria,5.659452,1.325806
Abundance and composition of ammonia‐oxidizing bacteria and ammonia‐oxidizing archaea communities of an alkaline sandy loam,0.852363,7.3863163
Structural RNA Homology Search and Alignment Using Covariance Models,10.894012,5.178179
Primer and platform effects on 16S rRNA tag sequencing,7.5753903,10.0950985
Definition of general topological equivalence in protein structures,10.8124485,5.058092
Stable-isotope probing as a tool in microbial ecology,3.859264,10.330553
The photosynthetic apparatus of Prochlorococcus: Insights through comparative genomics,1.0529112,4.745368
Horizontal gene acquisitions by eukaryotes as drivers of adaptive evolution,4.032838,4.5886884
Cloning of the Alcaligenes eutrophus genes for synthesis of poly-beta-hydroxybutyric acid (PHB) and synthesis of PHB in Escherichia coli,7.2283883,1.80719
Profiling gene expression to distinguish the likely active diazotrophs from a sea of genetic potential in marine sediments,0.07273512,6.581632
Are viruses driving microbial diversification and diversity?,2.7116408,6.549323
Multiple Sequence Alignment Using ClustalW and ClustalX,9.195846,9.461065
Novel major archaebacterial group from marine plankton,2.542164,8.769493
Use of nuclepore filters for counting bacteria by fluorescence microscopy,3.3451786,10.911476
In vitro transcription of the origin region of replication of the Escherichia coli chromosome.,6.1019955,0.8802075
Evidence for symmetric chromosomal inversions around the replication origin in bacteria,4.487599,2.3739707
Primase couples leading- and lagging-strand DNA synthesis from oriC.,5.4679337,0.5015561
MUSCLE: a multiple sequence alignment method with reduced time and space complexity,8.903404,10.234381
