paper_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22
W2804910112,0.0267337,0.000801,0.2112163,0.0015257,0.0007967,0.0007087,0.0004963,0.0006697,0.0006704,0.0010842,0.0689226,0.2168951,0.0004265,0.0005376,0.2766159,0.0004605,0.0007711,0.1274786,0.0615077,0.0003431,0.0003217,0.0006907,0.0003263
W2111967267,0.0021368,0.0010874,0.0011155,0.1257658,0.0010814,0.0009621,0.0006738,0.0209958,0.0009101,0.0014722,0.0007607,0.0012587,0.0005789,0.0007298,0.0007236,0.0006251,0.8157077,0.0204582,0.0006733,0.0004658,0.0004367,0.0009376,0.000443
W3025757981,0.2712425,0.0011281,0.117348,0.0021121,0.001122,0.0009982,0.0006991,0.1088817,0.0009443,0.0015262,0.0459862,0.247108,0.0006007,0.0007572,0.0007508,0.0006486,0.001086,0.0010236,0.0201402,0.174011,0.0004531,0.0009728,0.0004596
W4392544734,0.0024079,0.735949,0.0012503,0.0309489,0.0012121,0.0010783,0.0007552,0.0010189,0.0010201,0.0353212,0.0008526,0.0014107,0.0006489,0.1790213,0.0008111,0.0007006,0.0011732,0.0011058,0.0007547,0.0005221,0.0004895,0.0010509,0.0004965
W2745006471,0.0025483,0.0013051,0.0013389,0.6726254,0.199495,0.0011548,0.0008088,0.0010912,0.0010924,0.001766,0.0009131,0.0015109,0.0006949,0.000876,0.0008686,0.0007503,0.0012564,0.1063552,0.0008082,0.0005591,0.0005242,0.0011255,0.0005317
W2993005136,0.1177809,0.1425936,0.0007262,0.2678239,0.000704,0.0006263,0.2485058,0.0005918,0.0005924,0.0763658,0.0004952,0.0681067,0.0003769,0.0004751,0.0004711,0.0549537,0.0006814,0.0006422,0.0004383,0.0158656,0.0002843,0.0006104,0.0002884
W2904384071,0.0024877,0.0012692,0.0013019,0.3565392,0.3255942,0.1427929,0.0007864,0.1277329,0.0010622,0.0017181,0.0008879,0.0289018,0.0006757,0.0008518,0.0008446,0.0007296,0.0012217,0.0011515,0.0007859,0.0005437,0.0005098,0.0010944,0.000517
W2889019390,0.0787226,0.0009132,0.0009369,0.1487102,0.0009082,0.000808,0.4193669,0.1558746,0.0007643,0.001236,0.0714214,0.0010573,0.0004862,0.0006129,0.0006077,0.000525,0.0008791,0.073091,0.0005655,0.0003912,0.0409623,0.0007874,0.000372
W2999376388,0.0019834,0.0622641,0.0010296,0.0018754,0.1852395,0.0008879,0.0006219,0.0897166,0.0498439,0.0013585,0.2565115,0.0011617,0.0005343,0.2703208,0.0006679,0.0005769,0.0009661,0.0009106,0.0006215,0.0004299,0.0712037,0.0008654,0.0004089
W2134153749,0.0024743,0.0012691,0.0013019,0.0023699,0.6169331,0.0011228,0.0007864,0.0316693,0.0010622,0.3297288,0.0008878,0.0014692,0.0006757,0.0008517,0.0008446,0.0007295,0.0012217,0.0011514,0.0007859,0.0005436,0.0005097,0.0010943,0.000517
W2118001436,0.0016829,0.0008533,0.0008755,0.0015992,0.0008486,0.0872127,0.0005288,0.0007134,0.2567304,0.0011554,0.1770564,0.122501,0.0004543,0.0005727,0.0488594,0.0004905,0.0008215,0.0007742,0.0005284,0.2657677,0.0003427,0.0007358,0.0288953
W2766358903,0.1748654,0.06435,0.0009279,0.2487996,0.0008995,0.0146658,0.0005605,0.0007562,0.000757,0.0012244,0.0006328,0.3846287,0.0004816,0.000607,0.0006019,0.0005199,0.0008707,0.0580303,0.0439217,0.0003874,0.0003633,0.0007799,0.0003685
